Restaurant Name,Locality,Cuisines,Average Cost for two,Aggregate rating
Les 3 Brasseurs,Itaim Bibi,French,200,4.6
Veloso,Vila Mariana,Brazilian,100,4.6
Sr. Sol 1,Athens,Mexican,100,4.6
Miyabi Kyoto Japanese Steak House,Augusta,Chinese,100,4.6
Bridge Road Brewers,Beechworth,Pizza,100,4.6
Flatbread Neapolitan Pizzeria,Boise,Italian,100,4.6
Cafe Le Rue @ The Landings,Columbus,American,100,4.6
Kobe Hibachi & Sushi,Fort Oglethorpe,American,100,4.6
Olive Tree Cafe,Bettendorf,Indian,100,4.6
Fong's Pizza,Downtown,Chinese,100,4.6
Eat at Thai,Gainesville,Thai,100,4.6
Jim Shaw's Seafood Grill & Bar,Macon,Seafood,100,4.6
Cafí© Tu Tu Tango,I-Drive/Universal,New American,100,4.6
Texas de Brazil,I-Drive/Universal,Brazilian,200,4.6
Hawkers Asian Street Fare,Mills 50,Asian,100,4.6
New Yorker Deli & Pizzeria,Pensacola,Italian,100,4.6
Star Noodle,Lahaina,Asian,100,4.6
Yard House,Waikiki,American,100,4.6
Leopold's Ice Cream,Savannah,Desserts,100,4.6
Rumba Island Bar & Grill,Clearwater,BBQ,100,4.6
Red Mesa Cantina,Downtown St Petersburg,Latin American,100,4.6
Denny's,Abu Dhabi Mall,American,200,4.6
Famous Dave's Barbecue,Abu Dhabi Mall,American,300,4.6
Genghis Grill,Al Wahda Mall,Asian,200,4.6
The Cheesecake Factory,Yas Mall,American,300,4.6
Cryo Lab,Ellis Bridge,Desserts,400,4.6
Onesta,JP Nagar,Pizza,700,4.6
AB's - Absolute Barbecues,Marathahalli,European,1500,4.6
Onesta,New BEL Road,Pizza,700,4.6
Barbeque Nation,Chandrasekharpur,Mediterranean,1300,4.6
Fusilli Reasons,Kilpauk,Italian,400,4.6
Bombay Brasserie,Nungambakkam,North Indian,1300,4.6
Coal Barbecues,Velachery,North Indian,1500,4.6
Kuchi n Kream,Gandhipuram,Cafe,900,4.6
La Plage,Arambol,Seafood,900,4.6
The Fisherman's Wharf,Cavelossim,Continental,1200,4.6
Burma Burma,Cyber Hub,Asian,1600,4.6
Pier 38,Cyber Hub,Persian,1300,4.6
Twigly,DLF Phase 1,Continental,600,4.6
Manhattan Brewery & Bar Exchange,Global Foyer Mall,Finger Food,2100,4.6
Dudleys,Golf Course Road,American,1100,4.6
Mocha,Anil Plaza,Cafe,900,4.6
Chili's,Hitech City,Mexican,1900,4.6
Nawras Seafood Restaurant,Chittoor Road,Seafood,1100,4.6
Asia Kitchen by Mainland China,Acropolis Mall,Asian,1500,4.6
India Restaurant,Kidderpore,Biryani,900,4.6
Mocha,Gomti Nagar,Cafe,900,4.6
Aman Chicken,Shastri Nagar,North Indian,900,4.6
Stacks And Racks,Malad West,American,600,4.6
Spezia Bistro,Delhi University-GTB Nagar,Cafe,1000,4.6
Tashan,Greater Kailash (GK) 2,Modern Indian,2100,4.6
Big Chill,Khan Market,Italian,1600,4.6
Food Scouts,Punjabi Bagh,North Indian,800,4.6
Band Baaja Baaraat,Rajouri Garden,North Indian,1400,4.6
The California Boulevard,Rajouri Garden,American,2100,4.6
Greenr Cafe,Shahpur Jat,Cafe,1200,4.6
Cafeteria & Co.,Vijay Nagar,Continental,1000,4.6
Coffee Cup,Sainikpuri,Cafe,900,4.6
La Quello - Mediterranean Kitchen,Vadiwadi,Mediterranean,1400,4.6
Pizza Hut,CMR Central Mall,Pizza,700,4.6
Toodz House,Fatmawati,Cafe,165100,4.6
Union Deli,Grand Indonesia Mall,Desserts,200100,4.6
Satoo - Hotel Shangri-La,Hotel Shangri-La,Asian,800100,4.6
Federal Delicatessen,Federal Street,Cafe,100,4.6
Baduzzi,Wynyard Quarter,Italian,200,4.6
The Hangar,Te Aro,Cafe,100,4.6
Bodega,City Centre,Latin American,100,4.6
Mimi's Bakehouse,Leith,Cafe,100,4.6
Roka,Charlotte Street,Japanese,100,4.6
Bone Daddies,Walker's Court,Ramen,100,4.6
Zaffran Dining Experience,Al Emadi Financial Square,Indian,400,4.6
Licorish Bistro,Nicolway Shopping Centre,European,600,4.6
Hattena Hatay  SofrasÛ±,Balgat,Kebab,100,4.6
Meôhur í_zí_elik Aspava,K___k Esat,Kebab,100,4.6
Izakaya Kikufuji,Little Tokyo,Japanese,1300,4.5
Balay Dako,Tagaytay City,Filipino,1300,4.5
Hobing Korean Dessert Cafe,BGC Stopover Pavillion,Cafe,700,4.5
The Food Hall by Todd English,SM Aura Premier,American,1900,4.5
Cervantes,Copacabana,Beverages,100,4.5
Cantina Famiglia Mancini,Bela Vista,Italian,300,4.5
Last Resort Grill,Kapitolyo,American,100,4.5
Mama's Boy Restaurant,Athens,Southern,100,4.5
The Bee's Knees,Augusta,International,100,4.5
Bardenay,Boise,American,100,4.5
Goldy's Breakfast Bistro,Boise,Breakfast,100,4.5
The Hamburg Inn No. 2 Inc.,Iowa City,American,100,4.5
Mark's City Grille,Columbus,American,100,4.5
"Red Ginger Sushi, Grill & Bar",Bettendorf,Sushi,100,4.5
Hickory Park,Ames,BBQ,100,4.5
Flying Mango,Beaverdale,BBQ,100,4.5
Centro,Downtown,Italian,100,4.5
Blue Orchid Thai Restaurant,Haymarket,Thai,100,4.5
Mandarin Chinese Restaurant,Macon,Chinese,100,4.5
Rookery,Macon,Burger,100,4.5
'Ohana,Disney World Area,Hawaiian,100,4.5
Tu-Do Vietnamese Restaurant,Pensacola,Asian,100,4.5
Giovanni's Shrimp Truck,Kahuku,Seafood,100,4.5
Coconuts Fish Cafe,Kihei,Seafood,100,4.5
Kihei Caffe,Kihei,American,100,4.5
Mrs. Wilkes' Dining Room,Savannah,American,100,4.5
Zunzi's,Savannah,International,100,4.5
Conch Republic Grill,Madeira Beach/Redington Beach,Sandwich,100,4.5
Red Mesa Restaurant,Northeast St Petersburg,Breakfast,100,4.5
Taco Bus,Seminole Heights,Mexican,100,4.5
Hot Palayok,Madinat Zayed Shopping Centre,Filipino,200,4.5
Barbeque Nation,Barsha 2,Indian,200,4.5
Farzi Cafe,CITY WALK,International,300,4.5
Hard Rock Cafe,Festival City,American,400,4.5
The Coffee Club,Jumeirah 1,Cafe,200,4.5
Paper Fig,University City,Cafe,200,4.5
Huber & Holly,Bodakdev,Ice Cream,400,4.5
Nini's Kitchen,Prahlad Nagar,North Indian,1000,4.5
Koramangala Social,Koramangala 7th Block,Continental,1600,4.5
Big Brewsky,Sarjapur Road,Finger Food,1900,4.5
Central Perk 7,Chandrasekharpur,Cafe,700,4.5
Barbeque Nation,Sector 26,North Indian,1400,4.5
Burgrill,Sector 8,Burger,600,4.5
Basil With A Twist,T. Nagar,Continental,1600,4.5
Valarmathi Kongunaatu Samayal,Race Course,South Indian,400,4.5
Cafe Parmesan,Sector 15,Italian,1100,4.5
Baba Au Rhum,Anjuna,Italian,900,4.5
Ritz Classic,Panaji,Goan,700,4.5
Yum Yum Cha,Cyber Hub,Chinese,1900,4.5
Twigly,Sector 31,Asian,600,4.5
Indian Grill Room,Suncity Business Tower,North Indian,1900,4.5
Monarch Restaurant - Holiday Inn Jaipur City Centre,Holiday Inn Jaipur City Centre,North Indian,2400,4.5
Barbeque Nation,Kacheripady,European,1600,4.5
Frozen Factory,Gomti Nagar,Desserts,300,4.5
Joey's Pizza,Malad West,Pizza,900,4.5
The Breakfast Story,Pratap Nagar,Cafe,700,4.5
Kuremal Mohan Lal Kulfi Wale,Chawri Bazar,Ice Cream,300,4.5
Owl is Well,Greater Kailash (GK) 1,Burger,1100,4.5
Natural Ice Cream,Hauz Khas,Ice Cream,200,4.5
Coast Cafe,Hauz Khas Village,Continental,1500,4.5
Midnight Hunger Hub,Janakpuri,North Indian,900,4.5
Natural Ice Cream,JMD Kohinoor Mall,Ice Cream,200,4.5
Zaffran,Kasbah,North Indian,2100,4.5
Big Chill,Khan Market,Italian,1600,4.5
Cafe Lota,Pragati Maidan,North Indian,1300,4.5
Neung Roi - Radisson Blu Plaza Delhi,Radisson Blu Plaza Delhi,Thai,3100,4.5
Qubitos - The Terrace Cafe,Rajouri Garden,Thai,1600,4.5
Oh So Stoned!,DLF Mall of India,Desserts,300,4.5
The Big Chill Cakery,DLF Mall of India,Bakery,800,4.5
The Urban Foundry,Balewadi High Street,North Indian,1600,4.5
Chili's,Phoenix Market City,Mexican,1900,4.5
Barbeque Nation,R Deccan Mall,North Indian,1800,4.5
22nd Parallel,Alkapuri,South Indian,500,4.5
Little Sister Cafe,Henderson,Cafe,100,4.5
Big Fish Eatery,Penrose,Asian,100,4.5
Ekim Burgers,Te Aro,Fast Food,100,4.5
Ombra,Te Aro,Italian,100,4.5
Purnell's,Colmore Business District,Contemporary,200,4.5
La Favorita,Leith,Italian,100,4.5
Bocca Di Lupo,Archer Street,Italian,100,4.5
Dishoom,Boundary Street,Indian,100,4.5
sketch Gallery,Conduit Street,British,200,4.5
The Breakfast Club,D'arblay Street,American,100,4.5
Roti Chai,Portman Mews South,Indian,100,4.5
Mughli,Rusholme,Indian,100,4.5
Gaucho,Spinningfields,Argentine,100,4.5
Paper Moon,Umm Ghuwailina,Italian,500,4.5
Kloof Street House,Gardens,Mediterranean,400,4.5
The Creamery,Newlands,Desserts,200,4.5
Marble,Rosebank,Continental,1000,4.5
Harissa Bistro,The Club Centre,European,500,4.5
Culture Club - Bar De Tapas,Waterkloof,Cafe,300,4.5
Simply Strawberries By Jagro,Havelock Town,Juices,1400,4.5
Meôhur TavacÛ± Recep Usta,Dikmen,Kebab,200,4.5
Dem Karakí_y,Karak_y,Cafe,100,4.5
Heat - Edsa Shangri-La,Edsa Shangri-La,Seafood,4100,4.4
Din Tai Fung,SM Megamall,Chinese,1100,4.4
Wildflour Cafe + Bakery,Bonifacio Global City,Cafe,1600,4.4
Talho Capixaba,Leblon,Bakery,200,4.4
Templo da Carne - Marcos Bassi,Bela Vista,Steak,300,4.4
Terraí_o Itíçlia,Rep_blica,Italian,500,4.4
Esquina Mocotí_,Vila Maria,Brazilian,200,4.4
The Royal Peasant,Athens,Bar Food,100,4.4
Transmetropolitan,Athens,Italian,100,4.4
Mellow Mushroom,Augusta,Italian,100,4.4
Boise Fry Company,Boise,American,100,4.4
Fork,Boise,American,100,4.4
Los Beto's,Boise,Mexican,100,4.4
Lucianos Italian Restaurant,Boise,Italian,100,4.4
Brick 29,Nampa,American,100,4.4
Irish Democrat,Cedar Rapids,American,100,4.4
Hunter's Pub,Hamilton,American,100,4.4
Christian and Jake's Bistro,Calhoun,Desserts,100,4.4
Dub's High on the Hog,Calhoun,BBQ,100,4.4
A Dong Restaurant,Downtown,Asian,100,4.4
Houndstooth Grill & Tavern,Braselton,American,100,4.4
Hoka-Hoka Japanese Steak & Sushi,Dahlonega,Chinese,100,4.4
Ceví_che Tapas Bar & Restaurant,Church Street District,Spanish,100,4.4
Maggiano's Little Italy,I-Drive/Universal,Italian,100,4.4
Tako Cheena by Pom Pom,Mills 50,Asian,100,4.4
Seasons 52 Fresh Grill,Restaurant Row,American,100,4.4
Ethos Vegan Kitchen,Winter Park,American,100,4.4
Hillstone,Winter Park,nan,100,4.4
The Ravenous Pig,Winter Park,Pub Food,100,4.4
Vivo Bar and Grill,Palm Cove,Mediterranean,100,4.4
Global Grill,Pensacola,European,100,4.4
Peg Leg Pete's,Pensacola Beach,Burger,100,4.4
Fisherman's Corner,Perdido Key,Sandwich,100,4.4
Gazebo,Lahaina,Breakfast,100,4.4
Duke's Waikiki,Waikiki,Hawaiian,100,4.4
Crystal Beer Parlor,Savannah,American,100,4.4
The Olde Pink House,Savannah,American,100,4.4
Ceviche Tapas Bar & Restaurant,Hyde Park,Breakfast,100,4.4
Daily Eats,Hyde Park,American,100,4.4
Columbia Restaurant,Ybor City,Cuban,100,4.4
1918 Bistro & Grill,Tanunda,Modern Australian,100,4.4
Pizza Di Rocco,Al Dhafrah,Italian,200,4.4
Cho Gao - Crowne Plaza Abu Dhabi,Crowne Plaza Abu Dhabi,Thai,400,4.4
SpiceKlub,Mankhool,Indian,200,4.4
Grand Barbeque Buffet Restaurant,Satwa,Indian,200,4.4
Pizza Hut,Tajganj,Italian,800,4.4
La Pino'z Pizza,Bodakdev,Pizza,600,4.4
Mocha,Bodakdev,Cafe,1100,4.4
Swati Snacks,Ellis Bridge,Fast Food,500,4.4
The Cafe Baraco,Navrangpura,Cafe,700,4.4
Flechazo,Marathahalli,Asian,1300,4.4
Farzi Cafe,UB City,Modern Indian,1600,4.4
Manohar Dairy And Restaurant,Maharana Pratap Nagar,North Indian,500,4.4
Virgin Courtyard,Sector 7,Italian,2300,4.4
Pantry d'or,Anna Nagar East,Continental,800,4.4
Palmshore,Ramapuram,North Indian,900,4.4
Barbeque Nation,T. Nagar,North Indian,2100,4.4
Barbeque Nation,Town Hall,North Indian,1500,4.4
Barbeque Nation,Rajpur,North Indian,1700,4.4
Club Cubana,Anjuna,Finger Food,2100,4.4
Martin's Corner,Betalbatim,Goan,1700,4.4
The Fisherman's Wharf,Panaji,Continental,1200,4.4
Cafe Gatherings,DLF Phase 4,Cafe,800,4.4
The Mad Teapot/The Wishing Chair,DLF South Point Mall,Cafe,1100,4.4
Boombox Brewstreet,Sector 29,North Indian,1700,4.4
Downtown - Diners & Living Beer Cafe,Sector 29,North Indian,1900,4.4
PitStop BrewPub,Sector 29,Continental,1300,4.4
The Classroom,Sector 29,North Indian,1300,4.4
The Woking Mama,Christian Basti,Chinese,1400,4.4
Underdoggs Sports Bar & Grill,Christian Basti,North Indian,1700,4.4
Olive Bistro,Jubilee Hills,Mediterranean,2100,4.4
Nibs Cafe,C Scheme,Cafe,800,4.4
On The House,C Scheme,Italian,1400,4.4
Dhe Puttu,Edappally,Kerala,700,4.4
Cafe 17,Kaloor,Cafe,800,4.4
6 Ballygunge Place,Ballygunge,Bengali,1100,4.4
Gabbar's Bar & Kitchen,Camac Street Area,North Indian,1500,4.4
The Irish House,Quest Mall,European,2000,4.4
Dastarkhwan,Hazratganj,Mughlai,500,4.4
Belfrance Luxury Chocolates,Main Market,Cafe,1200,4.4
The Yellow Chilli,Main Market,Mughlai,1300,4.4
The Zuree Urban Kitchen,Mohan Nagar,North Indian,1300,4.4
Jom Jom Malay,Ansal Plaza Mall,Malaysian,1900,4.4
Lakhori - Haveli Dharampura,Chandni Chowk,Mughlai,3100,4.4
38 Barracks,Connaught Place,North Indian,1700,4.4
Farzi Cafe,Connaught Place,Modern Indian,2300,4.4
Cafe Yell,Defence Colony,Cafe,1100,4.4
The Hudson Cafe,Delhi University-GTB Nagar,Cafe,900,4.4
Big Chill,DLF Place Mall,Italian,1600,4.4
Karate Kitchen,Greater Kailash (GK) 1,Asian,1000,4.4
Carnatic Cafe,Greater Kailash (GK) 2,South Indian,600,4.4
Chhalava - ö__Lava,Greater Kailash (GK) 2,North Indian,1300,4.4
Rang De Basanti Urban Dhaba,Hauz Khas Village,North Indian,1400,4.4
Bukhara - ITC Maurya,ITC Maurya,North Indian,6600,4.4
Big Chill,Kailash Colony,Italian,1600,4.4
The Big Chill Cakery,Khan Market,Bakery,800,4.4
Dilli BC,Malviya Nagar,North Indian,800,4.4
Oh! Calcutta,Nehru Place,Bengali,1500,4.4
Chor Bizarre,Pandara Road Market,North Indian,1700,4.4
Gulati,Pandara Road Market,North Indian,1600,4.4
Locale,PVR Anupam Complex,North Indian,1500,4.4
The Coffee Shop,PVR Anupam Complex,Cafe,1300,4.4
NYC - Radisson Blu Plaza Delhi,Radisson Blu Plaza Delhi,North Indian,3100,4.4
Food Scouts,Rajouri Garden,North Indian,800,4.4
Ghar Bistro Cafe,Rajouri Garden,Continental,900,4.4
Lights Camera Action - Air Bar,Rajouri Garden,North Indian,1400,4.4
National Highway 44,Rajouri Garden,Kashmiri,1200,4.4
Blue Tokai Coffee Roasters,Saket,Cafe,400,4.4
Burgrill,Satyaniketan,Burger,500,4.4
Puppychino,Shahpur Jat,Cafe,1100,4.4
The Last Mughal (TLM),Shahpur Jat,North Indian,800,4.4
Zerruco - The Ashok,The Ashok,Mediterranean,2600,4.4
Tony's,Vijay Nagar,Fast Food,300,4.4
Kargo,Koregaon Park,Charcoal Grill,1000,4.4
Barbeque Ville,Wakad,North Indian,1100,4.4
Saffron Mantra,Karkhana,North Indian,900,4.4
That Place,Alkapuri,Italian,1600,4.4
Mekong - Hotel GreenPark,Hotel GreenPark,Chinese,1400,4.4
Flying Spaghetti Monster,Waltair Uplands,Italian,1500,4.4
Zenbu,Kota Kasablanka,Japanese,200100,4.4
Flip Burger,Senopati,Burger,120100,4.4
Chinoiserie,Mt Albert,Taiwanese,100,4.4
Fidel's,Te Aro,Cafe,100,4.4
Hippopotamus - Museum Hotel,Te Aro,French,300,4.4
Little Penang,Te Aro,Malaysian,100,4.4
The Kitchin,Leith,British,100,4.4
Mother India's Cafe,Old Town,Indian,100,4.4
Nobu,Mayfair,Japanese,200,4.4
The Grill On The Alley,Deansgate,Steak,100,4.4
Vine - The St. Regis,The St. Regis,International,600,4.4
Truth Coffee,CBD,Cafe,200,4.4
Jerry's Burger Bar,Gardens,Burger,300,4.4
My Sugar,Sea Point,Cafe,200,4.4
Willoughby & Co.,Victoria Wharf,Seafood,600,4.4
Geet Indian Restaurant,Brooklyn,Indian,400,4.4
Capital Craft Beer Academy,Greenlyn Village,Street Food,300,4.4
The Black Bamboo,Menlyn Boutique Hotel,Continental,700,4.4
Cafe Del Sol Botanico,Bryanston Shopping Centre,Italian,500,4.4
The Smokehouse and Grill,Pineslopes Shopping Centre,Steak,400,4.4
Escondido Tapas,Post Office Center,Mediterranean,500,4.4
íukuraÛôa SofrasÛ±,Emek,Kebab,100,4.4
Cafemiz,Gazi Osman Paa,World Cuisine,200,4.4
YÛ±ldÛ±z Aspava,K___k Esat,Kebab,100,4.4
Dí_veroÛôlu,Maltepe,Kebab,100,4.4
Sodam Korean Restaurant,Little Baguio,Korean,800,4.3
Taco Pep,guas Claras,Mexican,200,4.3
Filí© de Ouro,Lagoa,Brazilian,100,4.3
Garota de Ipanema,Urca,Brazilian,100,4.3
A Figueira Rubaiyat,Jardim Paulista,BBQ,400,4.3
Meats,Pinheiros,Gourmet Fast Food,200,4.3
Paribar,Rep_blica,Brazilian,200,4.3
Big City Bread Cafe,Athens,Breakfast,100,4.3
Five & Ten,Athens,American,100,4.3
Frog Hollow Tavern,Augusta,American,100,4.3
Thai Kitchen,Evans,Thai,100,4.3
Bar Gernika Basque Pub & Eatery,Boise,European,100,4.3
Bittercreek Ale House,Boise,American,100,4.3
Guido's Original New York Style Pizza,Boise,Pizza,100,4.3
The Egg Factory,Boise,Breakfast,100,4.3
A & A Pagliai's Pizza,Iowa City,Pizza,100,4.3
Atlas World Grill,Iowa City,International,100,4.3
Berry Patch Restaurant,Clatskanie,American,100,4.3
Burt's Butcher Shoppe and Eatery,Columbus,Steak,100,4.3
The Black Cow,Columbus,American,100,4.3
Soho Hibachi,Fort Oglethorpe,Japanese,100,4.3
Farm To Fork,Ringgold,American,100,4.3
Azteca,Davenport,Mexican,100,4.3
Front Street Brewery,Davenport,American,100,4.3
Django,Downtown,French,100,4.3
Jethro's BBQ,Kingman Place Historic District,American,100,4.3
Antebellum,Flowery Branch,American,100,4.3
Longstreet Cafe,Gainesville,Southern,100,4.3
Greek Corner Deli,Macon,Desserts,100,4.3
Raglan Road Irish Pub and Restaurant,Disney: Downtown Disney,Irish,100,4.3
Bahama Breeze Island Grille,I-Drive/Universal,Caribbean,100,4.3
Ichiban,Pensacola,Japanese,100,4.3
The Grand Marlin,Pensacola Beach,Caribbean,100,4.3
Hula Grill,Lahaina,Hawaiian,100,4.3
Kimo's,Lahaina,Hawaiian,100,4.3
J. Christopher's,Savannah,Breakfast,100,4.3
Lulu's Chocolate Bar,Savannah,Coffee and Tea,100,4.3
SOHO South Cafe,Savannah,Cafe,100,4.3
Blue House Cafe,Vernonia,Coffee and Tea,100,4.3
Lake House Restaurant,Vineland Station,Italian,100,4.3
Sofra Istanbul,Al Dhafrah,Turkish,100,4.3
Indian By Nature,Najda,Indian,100,4.3
Rasoi Ghar,Al Karama,Indian,100,4.3
SALT,Kite Beach,Fast Food,200,4.3
Din Tai Fung,Mall of the Emirates,Asian,200,4.3
Parker's,The Dubai Mall,Cafe,200,4.3
